Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,Priority
File,SessionState.java,9,0,7,2,2,,,,,9,29,10,196,,192,167,75,196,,5,15,2,174,,2307,309,1531,511,817,469,,734,1087,495,702,,17,,5,,,0.31,357,0,0,0.00,0.00,Major
File,ExpressionTree.java,8,0,7,1,2,,,,,8,6,3,56,,52,49,34,55,,2,8,12,33,,656,76,441,157,235,139,,196,294,128,189,,9,,2,,,0.32,101,0,0,0.00,0.00,Major
File,ConditionalResolverMergeFiles.java,18,1,13,5,2,,,,,3,0,3,24,,24,23,6,23,,0,9,0,14,,530,55,346,139,215,136,,200,260,128,183,,13,,6,,,0.39,57,0,0,0.00,0.00,Major
File,TopNKeyPushdownProcessor.java,24,2,18,4,4,,,,,1,3,1,14,,14,11,0,14,,0,12,0,2,,401,46,278,98,186,77,,150,199,90,152,,8,,3,,,0.28,50,0,0,0.00,0.00,Major
File,ObjectStore.java,22,1,20,1,3,,,,,48,11,13,670,,672,653,59,664,,8,264,88,304,,15400,1173,13309,3731,9430,949,,6570,8978,3113,7117,,59,,10,,,0.07,2172,0,0,0.00,0.00,Major
File,ObjectStore.java,22,1,20,1,3,,,,,48,11,13,670,,672,653,59,664,,8,264,88,304,,15400,1173,13309,3731,9430,949,,6570,8978,3113,7117,,59,,10,,,0.07,2172,0,0,0.00,0.00,Major
File,MetastoreConf.java,11,0,8,3,2,,,,,4,38,31,65,,61,25,392,63,,12,5,0,46,,2689,114,2283,1841,493,299,,305,431,161,297,,13,,3,,,0.13,140,0,0,0.00,0.00,Major
File,TestHs2ConnectionMetricsHttp.java,10,1,9,0,1,,,,,2,2,0,6,,6,4,0,6,,1,2,0,3,,117,19,77,45,34,22,,55,63,40,33,,1,,0,,,0.29,6,0,0,0.00,0.00,Major
File,BloomKFilter.java,8,0,5,2,1,,,,,2,8,6,46,,46,38,5,46,,2,3,0,41,,466,63,277,109,140,126,,139,207,107,110,,5,,2,,,0.45,67,0,0,0.00,0.00,Major
File,SessionState.java,9,0,7,2,2,,,,,9,29,10,196,,192,167,75,196,,5,15,2,174,,2307,309,1531,511,817,469,,734,1087,495,702,,17,,5,,,0.31,357,0,0,0.00,0.00,Major
File,ExpressionTree.java,8,0,7,1,2,,,,,8,6,3,56,,52,49,34,55,,2,8,12,33,,656,76,441,157,235,139,,196,294,128,189,,9,,2,,,0.32,101,0,0,0.00,0.00,Major
File,ConditionalResolverMergeFiles.java,18,1,13,5,2,,,,,3,0,3,24,,24,23,6,23,,0,9,0,14,,530,55,346,139,215,136,,200,260,128,183,,13,,6,,,0.39,57,0,0,0.00,0.00,Major
File,TopNKeyPushdownProcessor.java,24,2,18,4,4,,,,,1,3,1,14,,14,11,0,14,,0,12,0,2,,401,46,278,98,186,77,,150,199,90,152,,8,,3,,,0.28,50,0,0,0.00,0.00,Major
File,ObjectStore.java,22,1,20,1,3,,,,,48,11,13,670,,672,653,59,664,,8,264,88,304,,15400,1173,13309,3731,9430,949,,6570,8978,3113,7117,,59,,10,,,0.07,2172,0,0,0.00,0.00,Major
File,ObjectStore.java,22,1,20,1,3,,,,,48,11,13,670,,672,653,59,664,,8,264,88,304,,15400,1173,13309,3731,9430,949,,6570,8978,3113,7117,,59,,10,,,0.07,2172,0,0,0.00,0.00,Major
File,MetastoreConf.java,11,0,8,3,2,,,,,4,38,31,65,,61,25,392,63,,12,5,0,46,,2689,114,2283,1841,493,299,,305,431,161,297,,13,,3,,,0.13,140,0,0,0.00,0.00,Major
File,TestHs2ConnectionMetricsHttp.java,10,1,9,0,1,,,,,2,2,0,6,,6,4,0,6,,1,2,0,3,,117,19,77,45,34,22,,55,63,40,33,,1,,0,,,0.29,6,0,0,0.00,0.00,Major
File,BloomKFilter.java,8,0,5,2,1,,,,,2,8,6,46,,46,38,5,46,,2,3,0,41,,466,63,277,109,140,126,,139,207,107,110,,5,,2,,,0.45,67,0,0,0.00,0.00,Major
